iter,dual_obj,r,f_evals,∇f_evals
0,-1.0000000000000007,0.44993223031250384,1,1
1,-1.0013545889935647,8.142565842119318,3,3
2,-1.0013542037887746,0.009548457740003596,19,19
3,-1.001354579876222,0.007188542259280617,26,26
4,-1.0013545744998493,0.0025400825280944006,28,28
5,-1.0013545948039717,0.000693312115918221,31,31
6,-1.0013545962779287,0.0007146510819650287,34,34
7,-1.0013545964670691,0.00010507877449682235,36,36
8,-1.0013545965529982,1.2772145352279995e-5,39,39
9,-1.0013545965545114,1.3045646899856322e-5,42,42
10,-1.0013545965555508,1.0702570635845454e-5,45,45
11,-1.0013545965558097,3.435978429944253e-6,47,47
12,-1.0013545965558526,1.056275237287102e-6,50,50
13,-1.0013545965558557,8.957016088273484e-7,52,52
