iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999997,1.996513877978247,1,1
1,-111.42520591952993,0.8451436166195595,4,4
2,-111.42630853611799,0.1294919808337633,16,16
3,-111.78436010358604,0.09571955053226192,19,19
4,-111.78432896927114,0.011254704014691749,28,28
5,-111.78455591567835,0.009290531558678216,31,31
6,-111.78457918986895,0.009083991190124256,35,35
7,-111.78465126994462,0.008837804359842969,40,40
8,-111.78469786376755,0.00739133346171281,44,44
9,-111.78473526819916,0.006409954172686206,50,50
10,-111.78482041786827,0.005410537988851226,55,55
11,-111.7848461855499,0.0033672514209051787,60,60
12,-111.78485296874167,0.00297437937909984,66,66
13,-111.7848970269657,0.004211878620325355,70,70
14,-111.78489428310701,0.0017419692826107312,74,74
15,-111.78488641533812,0.0019349371108581682,86,86
16,-111.7849051603297,0.0020656205070555475,90,90
17,-111.78490253440859,0.001069704276887937,94,94
18,-111.78490086660766,0.0009529422785567575,105,105
19,-111.78490638233188,0.0013278870003839696,109,109
20,-111.78490564834512,0.0005625747795191783,113,113
21,-111.78490449471914,0.0006345540158197401,121,121
22,-111.78490672536113,0.0007838245884388708,125,125
23,-111.78490640770023,0.00036222647312428996,129,129
24,-111.78490604090642,0.00036884771070754777,141,141
25,-111.78490683433927,0.00047221045533637714,145,145
26,-111.784906727619,0.00020500262467174405,149,149
27,-111.78490688308838,5.084341953546373e-5,154,154
28,-111.78490687806602,4.962234659862874e-5,156,156
29,-111.78490688715988,4.839499754659448e-5,161,161
30,-111.78490688750244,2.950919579735949e-5,165,165
31,-111.78490688960606,1.2883952911069054e-5,170,170
32,-111.78490689061219,4.137112043646734e-5,174,174
33,-111.78490689047621,3.079279640468696e-5,177,177
34,-111.78490689069744,2.1683635682444823e-5,180,180
35,-111.78490689117741,4.8764395674406186e-6,184,184
36,-111.78490689117831,1.7639679646291352e-6,188,188
37,-111.78490689118645,6.1067138993915054e-6,192,192
38,-111.78490689119208,1.335334490599159e-6,196,196
39,-111.78490689119656,1.0070133161284994e-6,201,201
40,-111.78490689120106,5.777996149721951e-7,205,205
