iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999997,15.907314058250881,1.590731405825088,0.0,0,
1,-25.77184486360051,15.301285621249129,2.3860971087376317,0.9980043394055023,1,⊕
2,-61.57773861482586,14.845955493971037,3.5791456631064476,1.0009688247566095,1,⊕
3,-114.1758248989763,14.609443215872608,5.368718494659671,1.0001467779860533,1,⊕
4,-192.2461138410231,14.506632750405378,8.053077741989506,1.000998908967599,1,⊕
5,-308.4798180084591,14.472378629054852,12.079616612984257,0.9997501888175454,1,⊕
6,-480.3372279464139,14.98605834032562,18.119424919476387,0.9959779771051226,1,⊕
7,-721.8685618574549,15.104281151309166,27.17913737921458,0.981739470295601,1,⊕
8,-1087.096122723069,16.22446942456369,40.768706068821885,1.0479908106961835,1,⊕
9,-1584.299231073907,15.877615636018847,40.768706068821885,0.8107857689962562,1,⊕
10,-2128.3799904829743,14.906686028489158,40.768706068821885,0.8420667814638422,1,⊕
11,-2661.592356312786,15.505141834414266,61.15305910323282,1.0360809607175794,1,⊕
12,-3470.8841773850527,15.703363730666998,61.15305910323282,0.882928607923228,1,⊕
13,-4216.906279121739,15.342205869753437,61.15305910323282,0.778372516646551,1,⊕
14,-5007.217557329808,15.730236719131398,61.15305910323282,0.8440313643957215,1,⊕
15,-5763.046293026033,14.753018330670207,61.15305910323282,0.8139688234165559,1,⊕
16,-6589.759089527175,15.167784512860623,61.15305910323282,0.9182410447561486,1,⊕
17,-7388.757512591211,15.531631483933916,61.15305910323282,0.8631466582896816,1,⊕
18,-8133.529010376113,15.077944282842454,61.15305910323282,0.7856821577189459,1,⊕
19,-8886.19675757699,14.539781702357319,61.15305910323282,0.8179459905872708,1,⊕
20,-9686.563198928325,14.952547493484222,61.15305910323282,0.9020426284430253,1,⊕
21,-10452.536186442729,15.903374925225421,61.15305910323282,0.8821492190518094,1,⊕
22,-11193.061221243332,14.380247664899047,91.72958865484922,1.1087555067680868,2,⊕
23,-12347.581619921179,14.853664782563456,91.72958865484922,0.8780377146344349,1,⊕
24,-13484.265874235949,15.4699263729163,91.72958865484922,0.8368350432275051,1,⊕
25,-14552.194758546315,14.981088546991767,91.72958865484922,0.7548043517429707,1,⊕
26,-15608.071881492404,14.58084187367642,91.72958865484922,0.7707121419455751,1,⊕
27,-16749.948904662113,14.482304798261712,91.72958865484922,0.856437227578376,1,⊕
28,-17811.624683656446,13.912382833283022,91.72958865484922,0.8019530800951841,1,⊕
29,-18920.428686415908,14.33176498713798,91.72958865484922,0.8717218224230313,1,⊕
30,-20045.409281287757,14.172072322359229,91.72958865484922,0.8586529951646727,1,⊕
31,-21136.110023282676,13.671335904760493,91.72958865484922,0.8419843097039241,1,⊕
32,-22214.798464051033,15.37572202799153,91.72958865484922,0.8630482009828985,1,⊕
33,-23188.03829338782,14.115894844273685,91.72958865484922,0.692105527262805,1,⊕
34,-24286.60366352619,13.43890077236464,91.72958865484922,0.8511800454908424,1,⊕
35,-25327.69463902791,13.861116811485937,91.72958865484922,0.8475130694307639,1,⊕
36,-26342.323308970997,13.81762699199008,91.72958865484922,0.9433067777705506,1,⊕
37,-27392.82147818098,13.748870882793575,91.72958865484922,0.8315652623444229,1,⊕
38,-28337.263657737185,14.030783166110787,91.72958865484922,0.7513634726229075,1,⊕
39,-29401.146055071436,13.052791017853629,91.72958865484922,0.8293240147959581,1,⊕
40,-30394.99921844683,13.50745180451458,91.72958865484922,0.8329867660902237,1,⊕
41,-31404.427842791465,14.367165639237074,91.72958865484922,0.8174663927436421,1,⊕
42,-32357.745674102724,13.439160284549171,91.72958865484922,0.7256810835040033,1,⊕
43,-33313.1824793699,13.27369617169633,91.72958865484922,0.7776874807338761,1,⊕
44,-34249.58022268969,12.67590174393835,137.59438298227383,1.0654039316759876,2,⊕
45,-35759.36799100742,14.114623015077337,137.59438298227383,0.8703618427538968,1,⊕
46,-37108.71298908145,13.00078896331341,137.59438298227383,0.6981922436293635,1,⊕
47,-38477.71325237867,12.917494554522461,137.59438298227383,0.7693738248195873,1,⊕
48,-39821.75472893993,12.55011729840929,137.59438298227383,0.7602444893024902,1,⊕
49,-41257.16347305135,12.1104631835969,137.59438298227383,0.8358230828056871,1,⊕
50,-42646.812908571956,12.568312839497398,137.59438298227383,0.8387218816196659,1,⊕
51,-44022.86694578689,12.11568899689539,206.39157447341074,0.9932125510176919,1,⊕
52,-46114.70338084377,11.702488568918627,309.5873617101161,1.0329267404647178,3,⊕
53,-48891.16261946741,12.060635449647535,309.5873617101161,0.7766275244486379,1,⊕
54,-51786.60468064339,11.469949249036475,309.5873617101161,0.785545869489305,1,⊕
55,-54294.54666298142,12.039448087181125,309.5873617101161,0.7671152787529869,2,⊕
56,-56844.85224206611,11.381925810794908,309.5873617101161,0.6931423595342388,1,⊕
57,-59390.45933010313,11.249248955037114,309.5873617101161,0.7323847869676409,1,⊕
58,-61734.26782394672,10.281493559763838,309.5873617101161,0.682390413293694,1,⊕
59,-64133.77346818181,12.352120379667712,309.5873617101161,0.7653685517625385,1,⊕
60,-66120.74908523902,10.648618016960336,309.5873617101161,0.5261925056000025,1,⊕
61,-68449.91798285035,9.60613395189022,309.5873617101161,0.7169419108769061,1,⊕
62,-70529.71675289763,11.190519308755121,309.5873617101161,0.7107955411248894,1,⊕
63,-72108.42233005479,9.969684932213523,309.5873617101161,0.46207984473030095,1,⊕
64,-74332.36948462171,10.240735549785901,309.5873617101161,0.731906742783376,1,⊕
65,-75911.59406226935,9.591345337521835,309.5873617101161,0.5057596878430447,1,⊕
66,-77485.5495004919,10.137777310447445,309.5873617101161,0.5387606741576817,1,⊕
67,-79065.06918096336,8.428968329839186,309.5873617101161,0.5110712602509627,1,⊕
68,-80833.01119482634,9.031900702428281,309.5873617101161,0.6901764078982547,1,⊕
69,-82527.24583479238,9.537014037445656,309.5873617101161,0.6164798387921935,1,⊕
70,-83884.96979999144,8.53111383646788,309.5873617101161,0.4674365111243625,1,⊕
71,-85198.67431661066,7.6668309511908115,309.5873617101161,0.5065953527930445,1,⊕
72,-86398.5375087563,8.39290561301978,309.5873617101161,0.5159299904465572,1,⊕
73,-87519.09024209112,9.7827980841671,309.5873617101161,0.4393608822831779,1,⊕
74,-88998.56107951509,7.154056423339737,309.5873617101161,0.49634871926580004,1,⊕
75,-89836.29092570776,7.996179116071586,309.5873617101161,0.3866058921885762,1,⊕
76,-90932.52172742898,9.346617609381443,309.5873617101161,0.45157092945571964,1,⊕
77,-91956.74526038975,7.836646616495497,309.5873617101161,0.35992319073993456,1,⊕
78,-92755.8254742029,7.597781827491872,309.5873617101161,0.33600146067913594,1,⊕
79,-93452.69737530168,7.543763577223252,309.5873617101161,0.302428282406719,1,⊕
80,-93691.59779543537,8.133523712329202,309.5873617101161,0.10700245306069045,1,⊕
81,-94668.82234990425,6.311893596025701,309.5873617101161,0.39561921526111266,1,⊕
82,-95415.66069274813,7.2394703744597795,309.5873617101161,0.3918024814524421,1,⊕
83,-96586.4892332434,9.363196374298644,309.5873617101161,0.5338141001579564,1,⊕
84,-96767.56029260097,5.9701360857317765,309.5873617101161,0.06351576249382138,1,⊕
85,-97383.93862110935,6.962044412696089,309.5873617101161,0.3423645951263987,1,⊕
86,-97805.13351674288,6.943113600874955,309.5873617101161,0.19986103355339524,1,⊕
87,-98177.38975001306,6.677244806226772,309.5873617101161,0.17713176651983387,1,⊕
88,-99014.32866841172,7.727675618216864,309.5873617101161,0.41447630417308035,1,⊕
89,-99130.90665254735,5.560200730393103,309.5873617101161,0.04972469545646587,1,⊕
90,-99567.02630297412,6.796504109221268,309.5873617101161,0.2606117715613069,1,⊕
91,-99690.48817310565,8.179619768620373,309.5873617101161,0.06004401034091722,1,⊕
92,-99881.77763950064,7.333065408878528,309.5873617101161,0.0769967161564978,1,⊕
