iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999997,15.907314058250881,1.590731405825088,0.0,0,
1,-25.77309742467122,15.302851844807348,2.3860971087376317,0.9980044401074232,1,⊕
2,-61.58550377138155,14.84982812473041,3.5791456631064476,1.0009687867727073,1,⊕
3,-114.20366835329591,14.616783084569958,5.368718494659671,1.000147043825295,1,⊕
4,-192.32749076977308,14.519281093590596,8.053077741989506,1.0009989252196374,1,⊕
5,-308.69497156975524,14.492932207357047,12.079616612984262,0.999749847097535,1,⊕
6,-480.87896404597586,15.016351714526989,18.119424919476394,0.9959985791379,1,⊕
7,-723.2276581541942,15.14982070333524,27.17913737921459,0.9822064403776108,1,⊕
8,-1090.2604535285839,16.289937748492324,40.768706068821885,1.0477359125087864,1,⊕
9,-1591.7271566642469,15.97532630193592,40.768706068821885,0.8125606012204819,1,⊕
10,-2141.295479893662,15.052954093053156,40.768706068821885,0.8443088615408118,1,⊕
11,-2681.459722656886,15.672913908041311,61.15305910323283,1.024000916775064,1,⊕
12,-3505.0344789385717,15.919910002737355,61.15305910323283,0.88787547280375,1,⊕
13,-4268.367753455273,15.611148644330616,61.15305910323283,0.7840866489886265,1,⊕
14,-5080.62886763267,16.039300024714727,61.15305910323283,0.8508463162988738,1,⊕
15,-5861.514647754233,15.133956760076625,61.15305910323283,0.8277706545401123,1,⊕
16,-6715.49617032203,15.59112318316025,61.15305910323283,0.9227555366810676,1,⊕
17,-7546.844453749301,15.99482028047874,61.15305910323283,0.8719645181264566,1,⊕
18,-8326.897096458582,15.601960108683631,61.15305910323283,0.7975299663404009,1,⊕
19,-9119.10498050159,15.131804228513635,61.15305910323283,0.8303293698692528,1,⊕
20,-9962.110926258096,15.586551705148679,61.15305910323283,0.9110254569632827,1,⊕
21,-10774.677692204003,16.71993293912427,61.15305910323283,0.8622238341381093,1,⊕
22,-11541.020398306106,15.124895336502627,61.15305910323283,0.872695724432718,1,⊕
23,-12357.829179409186,15.654251817679762,61.15305910323283,0.9002972904175474,1,⊕
24,-13202.964298597379,15.60325592090185,61.15305910323283,0.8828443241291382,1,⊕
25,-14011.294513191948,15.893180308542695,61.15305910323283,0.8540016968510896,1,⊕
26,-14793.26740181987,15.579522370969059,61.15305910323283,0.9172866466679769,1,⊕
27,-15613.274542221581,15.127511796403125,61.15305910323283,0.8749918867047074,1,⊕
28,-16464.613045971033,15.584829629146634,61.15305910323283,0.9202915362805123,1,⊕
29,-17285.66703211397,15.943854605643939,61.15305910323283,0.8616562902802508,1,⊕
30,-18113.464475685363,15.125845751412553,91.72958865484925,1.059913976490586,2,⊕
31,-19335.002976648775,16.438325256683484,91.72958865484925,0.8804886673280591,1,⊕
32,-20509.731355773703,15.576962737235279,91.72958865484925,0.804150087663804,1,⊕
33,-21712.800601170562,15.593378128637024,91.72958865484925,0.8758833505714679,1,⊕
34,-22922.680591728298,15.12267924483618,91.72958865484925,0.8458735607238603,1,⊕
35,-24180.837775462784,15.598387854766,91.72958865484925,0.907005451878225,1,⊕
36,-25398.139607612655,15.906152162608477,91.72958865484925,0.850790388199628,1,⊕
37,-26614.91065938476,15.577053796146867,91.72958865484925,0.8339630577934123,1,⊕
38,-27826.431671957584,16.348184846327527,91.72958865484925,0.855821299283659,1,⊕
39,-28962.02143439991,15.118685157148592,91.72958865484925,0.9260380053255978,1,⊕
40,-30246.203938697647,15.06517043776041,91.72958865484925,0.9260116594074657,1,⊕
41,-31526.693953439153,15.641386304222411,91.72958865484925,0.9267646812571415,1,⊕
42,-32737.369938313415,14.978665773614217,91.72958865484925,0.846938522738175,1,⊕
43,-34029.721261736246,15.592072822653991,137.59438298227388,1.1398648518306544,2,⊕
44,-35834.038952603216,15.474688620175044,137.59438298227388,0.8410612265613044,1,⊕
45,-37675.40701266677,15.112920735894162,206.39157447341083,0.9733864581604166,2,⊕
46,-40457.91394021822,15.581352312017883,206.39157447341083,0.8921246545442664,1,⊕
47,-43137.59024397628,16.27342723858495,206.39157447341083,0.8333241894543456,1,⊕
48,-45780.52726531627,16.73030334773324,309.58736171011617,0.9925393329776259,1,⊕
49,-49528.75832007114,15.105075509353526,309.58736171011617,0.7237348737261824,1,⊕
50,-53821.42313473624,15.634542887405273,309.58736171011617,0.9180479449145185,1,⊕
51,-57831.973478304084,15.885748328065647,309.58736171011617,0.8330631635135132,1,⊕
52,-61864.44191138918,15.515686092697315,309.58736171011617,0.8200161311382184,1,⊕
53,-66142.51391805426,15.4315407739403,464.3810425651743,1.236281834516434,2,⊕
54,-72402.05134704498,15.548937182442744,464.3810425651743,0.8736225161804957,1,⊕
