iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999996,0.39830752629073624,1.0,0.0,0,
1,-1.0702201068110009,0.46043604592895593,1.0,0.9396791289329459,3,⊕
2,-1.1104878577395692,0.22482543950332642,1.4999999999999996,1.0516468577157971,2,⊕
3,-1.1647753847014215,0.052476401938500436,2.2499999999999996,1.0372846309415802,3,⊕
4,-1.2224766828679545,0.15543210341284844,3.374999999999999,1.0087295899771294,3,⊕
5,-1.2910887410275471,0.06458084237148555,5.062499999999995,1.0203770158291476,3,⊕
6,-1.3691218555369389,0.08198375339517636,7.593749999999992,1.0197904328977911,3,⊕
7,-1.4560925362359,0.07366292801052748,11.39062499999999,1.0238836728226186,5,⊕
8,-1.5049349713804716,0.058483623403481184,15.350959320352167,1.0268118274570779,9,✓
9,-1.505578872265481,0.003323209319029388,15.350959320352167,1.0095763606184083,3,✓
10,-1.506816854375046,0.00012172999390313727,15.350959320352167,1.000032748465675,18,✓
11,-1.5068184745736346,1.1912032004038303e-6,15.350959320352167,1.0000131026913976,25,✓
