iter,dual_obj,r,f_evals,∇f_evals
0,-0.9999999999999996,0.016282653713263928,1,1
1,-1.0104334480052137,0.17894803120991754,6,6
2,-1.0108020918873053,0.01927987815775789,10,10
3,-1.0115305538363233,0.04345311088371673,18,18
4,-1.0141431525194187,0.01920423510724656,22,22
5,-1.014674736155735,0.039841533060364455,26,26
6,-1.0222997010759052,0.11787981983632696,31,31
7,-1.0296626715605512,0.0320184702371958,35,35
8,-1.0323802651925593,0.05968082113129102,39,39
9,-1.032621919299701,0.033179602462851045,42,42
10,-1.0332028227938121,0.05936533875240291,45,45
11,-1.0363513094280652,0.026920293833888387,48,48
12,-1.0396324605844094,0.027246043223094204,52,52
13,-1.0424290939022864,0.05785913657922264,55,55
14,-1.0444386544859232,0.05179966990783063,60,60
15,-1.0489220924997067,0.07297315840726692,64,64
16,-1.0506068717594315,0.07757689976109762,68,68
17,-1.0708355324220116,0.11485276367100909,72,72
18,-1.0811319932900485,0.0520653270537869,75,75
19,-1.0830320835558593,0.11014131556334522,78,78
20,-1.0847755988202934,0.056789547859673016,82,82
21,-1.0855071348241747,0.08713322243387356,85,85
22,-1.08633991837538,0.05649243590246829,88,88
23,-1.087401378766315,0.08075097466253954,91,91
24,-1.0900672106747447,0.04009523568558471,94,94
25,-1.094502982404146,0.04745754829209832,97,97
26,-1.0979940067270446,0.09847095794481783,99,99
27,-1.1007008632753985,0.06091911802120958,101,101
28,-1.1046168695280505,0.04026599697607691,105,105
29,-1.1059937422587165,0.026736593447506295,109,109
30,-1.1063373678205384,0.023720235435047834,114,114
31,-1.1067270228302606,0.026433037886108866,117,117
32,-1.1075767225770772,0.03369881088241842,122,122
33,-1.1079888343877906,0.022930085928046327,126,126
34,-1.1084626144050063,0.029667625087643344,130,130
35,-1.1092216508700297,0.03259103337361104,134,134
36,-1.110100189268814,0.027789589844542488,137,137
37,-1.1112854928505396,0.016073221665849017,141,141
38,-1.1125740537556297,0.04591900320569999,145,145
39,-1.11342764836027,0.015393386895819441,149,149
40,-1.1146615199337315,0.03777797931751129,152,152
41,-1.1165439667403856,0.035960505701023805,155,155
42,-1.1228443308431935,0.05336329663377921,158,158
43,-1.126539674029809,0.019206887585936406,161,161
44,-1.1288053077935665,0.015223851249479848,164,164
45,-1.1292990963960694,0.008080366972681377,167,167
46,-1.1296526314590327,0.012712186359761214,170,170
47,-1.129815072903071,0.017841404848647623,172,172
48,-1.1307131985223222,0.04281005302195992,175,175
49,-1.1308642046458584,0.004629618824676829,179,179
50,-1.1315140298654587,0.014900186860113412,182,182
51,-1.1320874831788714,0.020920123881723516,185,185
