iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-1.0000000000000007,0.5785867618098698,1.0,0.0,0,
1,-1.006962673209989,0.05773924830058485,1.0,0.9777723258443068,1,✓
2,-1.0290300706463256,0.040111602345742806,1.4999999999999993,1.0308993194721463,3,⊕
3,-1.0430422244739883,0.010199735943808913,2.2499999999999982,1.007015312943096,2,⊕
4,-1.0544616495201966,0.02338833406257228,3.374999999999996,1.0355120391793533,3,⊕
5,-1.06727685181081,0.012508920869402496,5.062499999999993,0.9983060314651042,3,⊕
6,-1.0827034304260896,0.03425654696710711,7.593749999999989,1.063886174911813,4,⊕
7,-1.0895877847045843,0.005941099048847973,9.4673498694096,1.035873897247974,4,✓
8,-1.090287477715667,0.00010979730757639645,9.4673498694096,1.0017151350128695,4,✓
9,-1.0902907256226277,2.0690943843697775e-6,9.4673498694096,1.000111662004949,6,✓
