iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-1.0000000000000007,0.5785867618098698,1.0,0.0,0,
1,-1.0069626986919196,0.05773950465393499,1.0,0.9777721604827699,1,✓
2,-1.0290731930575143,0.04017206570262121,1.4999999999999998,1.030905037932376,3,⊕
3,-1.0432982727295113,0.01026629425937173,2.2499999999999996,1.0066267391250527,2,⊕
4,-1.0552620477443981,0.024269372751203982,3.375,1.035744381570648,3,⊕
5,-1.0697508160470681,0.015370512073555855,5.062500000000001,0.9981317944370817,3,⊕
6,-1.0869377154542015,0.04845566240502593,7.593750000000003,1.0962694492235414,4,⊕
7,-1.1052207004851016,0.007056079606068434,11.390625000000005,1.0099697408017239,4,⊕
8,-1.115788870805312,0.027312975731962324,17.085937500000007,1.1191434807975729,5,⊕
9,-1.1158582270212531,0.0011874152492529664,17.085937500000007,1.0030768747007743,2,✓
10,-1.1241197475792273,0.007106963263868123,25.62890624999999,0.9964044077497217,4,⊕
11,-1.12820251533544,0.009479570519348692,27.156144223857112,1.0605482814269618,6,✓
12,-1.128208015955063,0.00023524783221867197,27.156144223857112,1.000948515315382,2,✓
13,-1.1282957483555638,0.00022822684413956252,27.156144223857112,1.0063571450908888,7,✓
14,-1.1282957568150653,1.5307351798061833e-6,27.156144223857112,1.0000873618284665,3,✓
