iter,dual_obj,r,Δ,Δₐ_Δₚ,cgits,cgmsg
0,-0.9999999999999997,15.907314058250881,1.590731405825088,0.0,0,
1,-25.760457944775858,15.28704730632109,2.3860971087376317,0.9980034234671061,1,⊕
2,-61.50714681191027,14.810750582981681,3.5791456631064467,1.0009691700212646,1,⊕
3,-113.92270688988805,14.542718895644347,5.368718494659671,1.0001443629382247,1,⊕
4,-191.50632981789974,14.391647087549632,8.053077741989506,1.0009987262876967,1,⊕
5,-306.52394614755553,14.285528786513993,12.07961661298426,0.9997533819269911,1,⊕
6,-475.41190963518494,14.711065064870722,18.119424919476394,0.995786792892421,1,⊕
7,-709.5027881082995,14.692361137169351,27.179137379214588,0.9772383303826228,1,⊕
8,-1058.3214727471586,15.634882500553287,40.768706068821885,1.051398171381298,1,⊕
9,-1516.7566915408597,15.005072619422936,40.768706068821885,0.794064495102355,1,⊕
10,-2011.2441902353796,13.55225855516935,40.768706068821885,0.8197371039486152,1,⊕
11,-2484.894353433887,14.001212865360731,61.153059103232806,1.1787109057081542,1,⊕
12,-3162.3695622961263,13.802392857078857,61.153059103232806,0.8799175289461778,1,⊕
13,-3756.315020337187,12.9964160789054,61.153059103232806,0.7196201522324928,1,⊕
14,-4344.856531674268,13.078198554182972,61.153059103232806,0.7583593051989224,1,⊕
15,-4876.630138670803,11.483077999785563,61.153059103232806,0.6843525164443043,1,⊕
16,-5461.583393201316,11.585577776579779,61.153059103232806,0.855786795539224,1,⊕
17,-5974.152951298367,11.69367808652032,61.153059103232806,0.7430773970902897,1,⊕
18,-6406.214517451677,10.755471181640495,61.153059103232806,0.6204164665795704,1,⊕
19,-6809.265809177272,9.654448046416478,61.153059103232806,0.6366069743803089,1,⊕
20,-7224.886581396391,11.68545937049421,61.153059103232806,0.7269903327697861,1,⊕
21,-7535.596112414809,9.601992414049652,61.153059103232806,0.4500805459375806,1,⊕
22,-7881.9330324969305,9.375707857519092,61.153059103232806,0.752020427494863,1,⊕
23,-8173.010628827322,8.119942776150209,61.153059103232806,0.5247906217790248,1,⊕
24,-8491.606627074325,9.829189834949352,61.153059103232806,0.6667129005631205,1,⊕
25,-8676.155282446998,8.95713881315311,61.153059103232806,0.3245682229206481,1,⊕
26,-8866.584877289108,8.167094572704546,61.153059103232806,0.3599408962006411,1,⊕
27,-9135.596278478264,7.79233206697027,61.153059103232806,0.5595726921975132,1,⊕
28,-9263.441463338984,6.642654138047588,61.153059103232806,0.28657746062488115,1,⊕
29,-9434.076100237762,7.400841477681747,61.153059103232806,0.4403245669129096,1,⊕
30,-9544.43509651794,8.946671148859163,61.153059103232806,0.2543504945251477,1,⊕
31,-9693.83656783231,7.067585368541671,61.153059103232806,0.2916202467061182,1,⊕
32,-9724.624512709095,5.9077231663576155,61.153059103232806,0.07445675395810993,1,⊕
33,-9854.664758460309,8.505706720713624,61.153059103232806,0.3795943644854725,1,⊕
34,-9933.398588118509,7.7002398554836216,61.153059103232806,0.15701185308468474,1,⊕
35,-9953.888213370938,6.704876362608294,61.153059103232806,0.04531150729732155,1,⊕
36,-9962.523767013754,7.382612412063817,61.153059103232806,0.022067460161416468,1,⊕
37,-10069.586033014579,5.521450164562734,61.153059103232806,0.2473878866958274,1,⊕
38,-10073.564896816291,6.479659908752235,61.153059103232806,0.01449765328434983,2,⊕
39,-10129.058785314159,6.393184006223378,61.153059103232806,0.14698322455905083,1,⊕
40,-10150.229053106057,6.5221143570614375,61.153059103232806,0.05686892120788802,1,⊕
41,-10166.728481551563,5.104812791226437,61.153059103232806,0.043402693390741175,1,⊕
42,-10167.81295452123,8.814885337704801,61.153059103232806,0.006218497389596055,1,⊕
43,-10176.651806359017,7.258934501011947,61.153059103232806,0.028914210028843094,1,⊕
44,-10221.108260448953,6.277366232899829,61.153059103232806,0.10455235866096772,1,⊕
45,-10227.438230482296,4.984467740376548,61.153059103232806,0.024576364992163747,1,⊕
46,-10245.591916811896,5.8946859435551735,61.153059103232806,0.07531780571123478,1,⊕
47,-10247.152731654454,6.252205744550727,61.153059103232806,0.007064686067501181,2,⊕
48,-10250.249099068884,6.982009695328141,61.153059103232806,0.029419688566771587,1,⊕
49,-10255.088565882419,7.835905914476228,61.153059103232806,0.020095136890257787,1,⊕
50,-10277.757764182992,8.412307942224297,61.153059103232806,0.0492283808477038,1,⊕
51,-10283.099921693056,6.1778233764818555,61.153059103232806,0.018465117547356386,1,⊕
52,-10288.674392746467,4.860061255742679,61.153059103232806,0.037461195868009806,1,⊕
53,-10293.646956841045,7.217022409858104,61.153059103232806,0.042711856675044575,1,⊕
