iter,dual_obj,r
0,-1.0000000000000007,0.44993223031250207
1,-1.0013545889935649,8.142565842119302
2,-1.0013542037887746,0.009548457740005678
3,-1.001354579876222,0.007188542259281672
4,-1.0013545744998493,0.002540082528094484
5,-1.0013545948039717,0.0006933121159182487
6,-1.0013545962779287,0.0007146510819645568
7,-1.0013545964670691,0.0001050787744966003
8,-1.0013545965529984,1.2772145352168973e-5
9,-1.0013545965545112,1.3045646900300412e-5
10,-1.0013545965555506,1.0702570634901765e-5
11,-1.0013545965558097,3.435978430471609e-6
12,-1.0013545965558526,1.0562752370754658e-6
13,-1.0013545965558557,8.957016088273484e-7
